prev_word;post_word;prev_pos;post_pos;key1;key2;key3;key4;key5;key6;tag
ход;поезд;сущ;сущ;0;0;0;0;0;0;1
нет;мысль;част;сущ;0;0;0;0;1;0;5
каждый;сердце;прил;сущ;0;0;0;0;1;0;5
естественно;сердце;нареч;сущ;0;0;0;0;1;0;5
картина;русский;сущ;прил;0;0;0;0;0;0;5
демократический;эпоха;прил;сущ;0;0;0;1;0;0;4
отражать;литературный;глаг;прил;0;0;0;0;0;1;6
размах;*;сущ;*;0;0;0;0;0;0;3
естественный;население;прил;сущ;0;0;0;0;0;0;2
непрерывный;груз;прил;сущ;1;0;0;0;0;0;1
скорость;кинопленка;сущ;сущ;1;0;0;0;0;0;1
свой;,;прил;,;0;0;0;0;0;0;3
состояние;стена;сущ;сущ;1;0;0;0;0;0;1
влияние;глаз;сущ;сущ;0;0;1;0;0;0;3
измерять;время;глаг;сущ;0;0;0;0;0;0;1
механический;и;прил;союз;1;0;0;0;0;0;1
орбитальный;планета;прил;сущ;0;0;0;0;0;0;2
постоянный;на;прил;предл;1;0;0;0;0;0;1
а;голова;союз;сущ;0;0;1;0;0;0;3
вид;-;сущ;-;1;0;0;0;0;0;1
изменить;планета;глаг;сущ;0;0;0;0;0;0;2
дорожный;,;прил;,;0;1;0;0;0;0;2
быстрый;глаз;прил;сущ;0;0;1;0;0;0;3
о;славянский;предл;прил;0;0;0;0;0;0;4
.;воздух;.;сущ;0;0;0;0;0;0;1
спортивный;мы;прил;мест;0;0;0;0;0;0;4
резкий;противопоказать;прил;глаг;0;0;1;0;0;0;3
ее;из;мест;предл;0;0;0;0;0;0;2
олимпийский;-;прил;-;0;0;0;1;0;0;4
антидопинговый;.;прил;.;0;0;0;0;0;0;4
дорожный;быть;прил;глаг;0;1;0;0;0;0;2
излишний;,;прил;,;0;0;0;0;0;0;3
дальнейший;вперед;прил;нареч;0;1;0;0;0;0;2
каждый;чувствоваться;прил;глаг;0;0;1;0;0;0;3
спонтанный;к;прил;предл;0;0;0;0;0;0;5
тимуровский;.;прил;.;0;0;0;1;0;0;4
ожидать;без;глаг;предл;1;0;0;0;0;1;6
броуновский;.;прил;.;1;0;0;0;0;0;1
организатор;*;сущ;*;0;0;0;1;0;0;4
.;ее;.;мест;0;0;0;0;0;0;4
заметный;все;прил;мест;0;0;0;0;0;0;4
отдаться;.;глаг;.;0;0;0;0;0;0;1
круговой;:;прил;:;1;0;0;0;0;0;1
без;,;предл;,;1;0;0;0;0;0;1
мощь;,;сущ;,;0;0;0;0;0;0;1
стряхивающий;палец;прил;сущ;0;0;1;0;0;0;3
в;.;предл;.;0;0;0;0;0;0;1
быстрый;полегчать;прил;глаг;0;0;0;0;0;0;3
сторона;мещанин;сущ;сущ;0;0;0;0;0;0;2
в;после;предл;предл;0;0;0;0;0;0;1
скрытный;он;прил;мест;0;0;0;0;0;0;3
начать;в;глаг;предл;0;1;0;0;0;0;2
резкий;и;прил;союз;0;0;1;0;0;0;3
женский;.;прил;.;0;0;0;1;0;0;4
хаотический;среди;прил;предл;1;0;0;0;0;0;1
видеть;к;глаг;предл;0;0;0;0;0;0;2
рабочий;к;прил;предл;0;0;0;1;0;0;4
какой-то;,;мест;,;0;0;0;0;0;0;1
сделать;встать;глаг;глаг;0;0;0;0;0;0;4
и;земля;союз;сущ;0;0;0;0;0;0;2
ход;этот;сущ;мест;0;0;0;0;0;1;6
пульсировать;от;глаг;предл;0;0;0;0;0;0;6
сочувствать;жизнь;глаг;сущ;0;0;0;0;0;0;6
неверный;-;прил;-;0;0;1;0;0;0;3
небольшой;рука;прил;сущ;0;0;1;0;0;0;3
с;вода;предл;сущ;0;0;0;0;0;0;1
заметный;все;прил;мест;0;0;0;0;0;0;1
без;быть;предл;глаг;1;0;0;0;0;0;1
короткий;сдвинуть;прил;глаг;0;0;0;0;0;0;3
любой;причинять;прил;глаг;0;0;0;0;0;0;3
скорость;(;сущ;(;1;0;0;0;0;0;1
слаженность;.;сущ;.;0;0;1;0;0;0;3
график;и;сущ;союз;0;1;0;0;0;0;2
встречный;информация;прил;сущ;0;1;0;0;0;0;2
этап;запрос;сущ;сущ;0;0;0;0;0;0;2
дорожный;.;прил;.;0;1;0;0;0;0;2
при;в;предл;предл;0;1;0;0;0;0;2
пластика;,;сущ;,;0;0;1;0;0;0;3
революционный;(;прил;(;0;0;0;1;0;0;4
и;талибы;союз;сущ;0;0;0;0;0;0;4
прозрачность;капитал;сущ;сущ;0;0;0;0;0;0;2
коммунистический;в;прил;предл;0;0;0;1;0;0;4
популярность;получить;прил;глаг;0;0;0;0;0;0;4
никакой;и;прил;союз;0;0;0;0;0;0;3
дорожный;на;прил;предл;0;1;0;0;0;0;2
воздушный;.;прил;.;0;1;0;0;0;0;2
*;солнце;*;сущ;0;0;0;0;0;0;2
прекратить;транспорт;глаг;сущ;0;1;0;0;0;0;2
(;здесь;(;нареч;0;0;0;0;0;0;2
тормозить;.;глаг;.;0;0;0;0;0;1;6
угловатый;.;прил;.;0;0;1;0;0;0;3
реактивный;(;прил;(;1;0;0;0;0;0;1
их;составлять;мест;глаг;0;0;0;0;0;0;2
план;поезд;сущ;сущ;0;1;0;0;0;0;2
закон;небесный;сущ;прил;0;0;0;0;0;0;1
необычайный;:;прил;:;0;0;0;0;0;0;3
заметный;рука;прил;сущ;0;0;1;0;0;0;3
последний;взмывать;прил;глаг;0;0;0;0;0;0;3
производственный;восприниматься;прил;глаг;0;0;0;0;0;0;4
медленный;по;прил;предл;0;1;0;0;0;0;2
малейший;его;прил;мест;1;0;0;0;0;0;1
идеалистический;.;прил;.;0;0;0;0;0;0;4
поступательный;,;прил;,;1;0;0;0;0;0;1
агент;составитель;сущ;сущ;0;0;0;0;0;0;2
за;проект;предл;сущ;0;0;0;0;0;0;6
время;издавать;сущ;глаг;1;0;0;0;0;0;1
тайный;совесть;прил;сущ;0;0;0;0;1;0;5
слабый;палец;прил;сущ;0;0;1;0;0;0;3
кооперативный;в;прил;предл;0;0;0;0;0;0;4
революционный;пролетариат;прил;сущ;0;0;0;1;0;0;4
замкнутый;,;прил;,;0;0;0;0;0;0;1
усиленное;:;прил;:;0;0;0;0;0;0;2
демократический;все;прил;мест;0;0;0;1;0;0;4
процесс;в;сущ;предл;0;0;0;0;0;0;2
приметный;домотканый;прил;прил;0;0;0;0;0;0;2
сам;душа;мест;сущ;0;0;0;0;1;0;5
условие;армия;сущ;сущ;0;0;0;0;0;0;2
малейший;бросать;прил;глаг;1;0;0;0;0;0;3
медлительный;и;прил;союз;0;0;0;0;0;0;3
партизанский;в;прил;предл;0;0;0;1;0;0;4
и;развиваться;союз;глаг;0;0;0;0;0;1;6
дать;сий;глаг;прил;0;0;0;0;0;0;1
первый;ничего;прил;мест;0;0;0;0;0;0;1
душевный;быть;прил;глаг;0;0;0;0;1;0;5
род;,;сущ;,;0;0;0;0;0;0;3
,;сильнейший;,;прил;0;0;0;0;0;0;5
психологический;,;прил;,;0;0;0;0;1;0;5
судорожный;,;прил;,;0;0;1;0;0;0;3
всякий;вперед;прил;нареч;0;0;0;0;0;1;6
в;:;предл;:;0;0;0;0;0;0;1
быть;,;глаг;,;0;0;0;0;0;0;1
делать;,;глаг;,;0;0;1;0;0;0;3
женский;проявиться;прил;глаг;0;0;0;1;0;0;4
общественный;.;прил;.;0;0;0;1;0;0;4
в;маховой;предл;прил;0;0;0;0;0;0;1
неясный;сердце;прил;сущ;0;0;0;0;1;0;5
без;,;предл;,;1;0;0;0;0;0;1
без;и;предл;союз;1;0;0;0;0;0;1
быстрый;жизнь;прил;сущ;0;0;0;0;0;1;6
стройный;пехота;прил;сущ;0;0;0;0;0;0;2
только;далее;нареч;нареч;0;0;0;0;0;0;2
решительное;как;прил;союз;0;0;1;0;0;0;3
происходить;жидкость;прил;сущ;0;0;0;0;0;0;2
медленный;подтянуть;прил;глаг;0;1;0;0;0;0;3
-;в;-;предл;0;0;0;0;0;0;2
энергичный;бросить;прил;глаг;0;0;1;0;0;0;3
время;все;сущ;мест;1;0;0;0;0;0;1
быстрый;он;прил;мест;0;0;0;0;0;0;3
этот;реагировать;мест;глаг;0;0;0;0;0;0;2
за;население;предл;сущ;0;0;0;0;0;0;2
эстетика;.;сущ;.;0;0;0;0;0;0;1
о;таинственный;предл;прил;0;0;0;0;0;0;1
странный;и;прил;союз;0;0;0;0;0;0;3
чувствовать;,;глаг;,;0;0;0;0;0;0;1
за;звезда;предл;сущ;0;0;0;0;0;0;2
малейший;.;прил;.;1;0;0;0;0;0;1
ускорять;бегемот;глаг;сущ;0;1;0;0;0;0;2
направление;.;сущ;.;0;1;0;0;0;0;2
от;.;предл;.;0;0;0;0;0;0;2
повиноваться;колесо;глаг;сущ;0;0;0;0;0;0;1
правосторонний;.;прил;.;0;1;0;0;0;0;2
дорожный;нарушать;прил;глаг;0;1;0;0;0;0;2
в;пылесос;предл;сущ;0;0;0;0;0;0;1
глотательный;.;прил;.;0;0;0;0;0;0;3
