prev_word;post_word;prev_pos;post_pos;tag
этап;запрос;сущ;сущ;2
дорожный;.;прил;.;2
при;в;предл;предл;2
пластика;,;сущ;,;3
революционный;(;прил;(;4
и;талибы;союз;сущ;4
прозрачность;капитал;сущ;сущ;2
коммунистический;в;прил;предл;4
популярность;получить;прил;глаг;4
никакой;и;прил;союз;3
дорожный;на;прил;предл;2
воздушный;.;прил;.;2
*;солнце;*;сущ;2
прекратить;транспорт;глаг;сущ;2
(;здесь;(;нареч;2
тормозить;.;глаг;.;6
угловатый;.;прил;.;3
реактивный;(;прил;(;1
их;составлять;мест;глаг;2
план;поезд;сущ;сущ;2
закон;небесный;сущ;прил;1
необычайный;:;прил;:;3
заметный;рука;прил;сущ;3
последний;взмывать;прил;глаг;3
производственный;восприниматься;прил;глаг;4
медленный;по;прил;предл;2
малейший;его;прил;мест;1
идеалистический;.;прил;.;4
поступательный;,;прил;,;1
агент;составитель;сущ;сущ;2
за;проект;предл;сущ;6
время;издавать;сущ;глаг;1
тайный;совесть;прил;сущ;5
слабый;палец;прил;сущ;3
кооперативный;в;прил;предл;4
революционный;пролетариат;прил;сущ;4
замкнутый;,;прил;,;1
усиленное;:;прил;:;2
демократический;все;прил;мест;4
процесс;в;сущ;предл;2
приметный;домотканый;прил;прил;2
сам;душа;мест;сущ;5
условие;армия;сущ;сущ;2
малейший;бросать;прил;глаг;3
медлительный;и;прил;союз;3
партизанский;в;прил;предл;4
и;развиваться;союз;глаг;6
дать;сий;глаг;прил;1
первый;ничего;прил;мест;1
душевный;быть;прил;глаг;5
род;,;сущ;,;3
,;сильнейший;,;прил;5
психологический;,;прил;,;5
судорожный;,;прил;,;3
всякий;вперед;прил;нареч;6
в;:;предл;:;1
быть;,;глаг;,;1
делать;,;глаг;,;3
женский;проявиться;прил;глаг;4
общественный;.;прил;.;4
в;маховой;предл;прил;1
неясный;сердце;прил;сущ;5
без;,;предл;,;1
без;и;предл;союз;1
быстрый;жизнь;прил;сущ;6
стройный;пехота;прил;сущ;2
только;далее;нареч;нареч;2
решительное;как;прил;союз;3
происходить;жидкость;прил;сущ;2
медленный;подтянуть;прил;глаг;3
-;в;-;предл;2
энергичный;бросить;прил;глаг;3
время;все;сущ;мест;1
быстрый;он;прил;мест;3
этот;реагировать;мест;глаг;2
за;население;предл;сущ;2
эстетика;.;сущ;.;1
о;таинственный;предл;прил;1
странный;и;прил;союз;3
чувствовать;,;глаг;,;1
за;звезда;предл;сущ;2
малейший;.;прил;.;1
ускорять;бегемот;глаг;сущ;2
направление;.;сущ;.;2
от;.;предл;.;2
повиноваться;колесо;глаг;сущ;1
правосторонний;.;прил;.;2
дорожный;нарушать;прил;глаг;2
в;пылесос;предл;сущ;1
глотательный;.;прил;.;3
